主題,媒體,時間,金額,執行單位,行政部會,備註
產銷履歷宣導活動,網路(影片製作1組),11月,97711,農委會,農委會,
產銷履歷宣導活動,報紙(爽報、Upaper),10月、12月,200783,農委會,農委會,
產銷履歷宣導活動,雜誌(嬰兒與母親、商業周刊、遠見、康健),11-12月,380657,農委會,農委會,
認養代替購買,報紙(U-paper),2014-12-06 00:00:00,41632,農委會,農委會,
認養代替購買,雜誌(時報周刊、財訊、CHEERS快樂工作人),12月,267974,農委會,農委會,
認養代替購買,網站(不指定部落客廣告推文),12月,0,農委會,農委會,
生態電影節系列活動,網路(影片製作2組、不指定文字訊息廣告、市場快訊文字廣告連結、不指定部落客廣告推文、民視會員電子報),10月,195422,農委會,農委會,
生態電影節系列活動,報紙(聯合報、蘋果日報、人間福報、不指定報紙文字訊息廣告),2014-10-17 00:00:00,602940,農委會,農委會,
生態電影節系列活動,雜誌(時報周刊、SMART智富月刊、大家說英語、康健雜誌、空中英語教室、卓越雜誌),10-11月,584509,農委會,農委會,
生態電影節系列活動,廣播(農家精選),10-11月,156350,農委會,農委會,
主動申報動植物產品,報紙(金門日報),2014-12-08 00:00:00,42993,農委會,農委會,
寵物登記 限期免費,報紙(中國時報、自由時報、聯合晚報、經濟日報、工商時報),10月,590445,農委會,農委會,
寵物登記 限期免費,雜誌(今周刊、新新聞周刊、壹週刊),10月,217314,農委會,農委會,
寵物登記 限期免費,網路(Yahoo全民經濟專案),10月,210700,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,報紙(中國時報、聯合報、蘋果日報、聯合晚報、台灣時報、中華日報、U-paper),2014-11-29 00:00:00,708012,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,雜誌(SMART智富月刊、天下雜誌、壹週刊-A本政經、新新聞、商周),12月,517156,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,廣播30秒廣告製播(北台灣之聲、好事聯播網、農林漁牧專區、嘉義北回、高屏下港、花蓮蓮友),11月,361426,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,網路(Ettoday-新聞精選組合、專題短片製作),12月,160500,農委會,農委會,
文旦柚果醬果茶,雜誌(長春月刊、康健雜誌、鄉間小路、平面設計、食尚玩家、不指定雜誌文字訊息廣告),11-12月,317647,農委會,農委會,
文旦柚果醬果茶,報紙(不指定報紙文字訊息廣告),2014-11-30 00:00:00,0,農委會,農委會,
文旦柚果醬果茶,報紙(不指定報紙三全刊登),12月,0,農委會,農委會,
文旦柚果醬果茶,網路(不指定文字訊息廣告、不指定部落客廣告推文),11月,0,農委會,農委會,
水土保持作文繪畫比賽得獎公布,雜誌(遠見雜誌、不指定文字訊息廣告),12月,129956,農委會,農委會,
水土保持作文繪畫比賽得獎公布,報紙(不指定報紙三全刊登、不指定文字訊息廣告),11-12月,0,農委會,農委會,
水土保持作文繪畫比賽得獎公布,網路(不指定文字訊息廣告),11月,0,農委會,農委會,
水土保持再生資源教育網宣傳,雜誌(鄉間小路),12月,48856,農委會,農委會,
水土保持再生資源教育網宣傳,網路(民視新聞網BANNER),11-12月,0,農委會,農委會,
農村好讚APP,雜誌(數位時代),11月,117632,農委會,農委會,
防範禽流感宣導,廣播30秒製播(新農民聯盟),11-12月,64976,農委會,農委會,
五星級製茶廠 臺灣茶安全又衛生,網路(專題短片),2014-11-22 00:00:00,0,農委會,農委會,
國產大豆品質佳 契作面積增產量,網路(專題短片),2014-11-30 00:00:00,0,農委會,農委會,
2013農業科技產業好點子競賽,報紙(自由時報),12月16日,404000,農委會,農委會,
2013農業科技產業好點子競賽,網路(專題短片),2014-12-10 00:00:00,0,農委會,農委會,
田媽媽打卡加油讚,網路(不指定網路文字訊息廣告、八大官網Banner),10月,0,農委會,農委會,
農業網路行銷-農業影片紀錄,網路(影片製作),10月,694500,農委會,農委會,
花東農遊趣,報紙(民眾、更生日報),10月,70600,農委會,農委會,
花東農遊趣,雜誌(30雜誌),12月,78000,農委會,農委會,
花東農遊趣,廣播30秒廣播排播(微微笑廣播、好事聯播網),12月,24080,農委會,農委會,
花東農遊趣,平面消息稿(不指定報紙文字訊息廣告),12月,0,農委會,農委會,
花東農遊趣,網路消息稿(不指定網路文字訊息廣告、八大官網Banner),12月,0,農委會,農委會,
花東農遊趣,電視(中視數位新聞台、華視新聞資訊台、八大第一台、八大綜合台、地方系統-緯來戲劇台、高點育樂台、衛視體育台),12月,0,農委會,農委會,
花東農遊趣,廣播口播廣告(下港之聲、新營之聲、北回廣播),12月,0,農委會,農委會,
花東農遊趣,電視訊息插播卡製作,12月,0,農委會,農委會,
食材旅行Let's go !系列活動,雜誌(AZ旅遊生活、行遍天下專題報導及抽印單行本5萬份),10月,809960,農委會,農委會,
食材旅行Let's go !系列活動,網路(Google、八大官網Banner),9-10月,142140,農委會,農委會,
食材旅行-嘗鮮大使,報紙(Upaper、中國時報、臺灣時報),11月,122080,農委會,農委會,
食材旅行-嘗鮮大使,廣播30秒廣告製播(微微笑、彰化關懷、台南自由之聲、高屏金台灣、宜蘭鄉親、南投山城、台南曾文溪、台南新營之聲、屏東鄉土之聲、宜蘭羅東),11月,177730,農委會,農委會,
食材旅行-嘗鮮大使,廣播口播廣告(自由之聲、關懷之聲、曾文溪廣播、新營之聲2次、山城廣播),11月,0,農委會,農委會,
食材旅行-嘗鮮大使,網路(不指定網路文字訊息廣告、八大官網Banner),9-12月,0,農委會,農委會,
食材旅行-嘗鮮大使,平面消息稿(不指定報紙文字訊息廣告),11月,0,農委會,農委會,
疏伐修枝-守護健康森林、木藝創作,網路(短片製作2支),12月,149000,農委會,農委會,
農業旅遊形象行銷及推廣,電視(台視財經台、八大戲劇台、八大娛樂K台、地方系統-LS TIME台、霹靂台灣台、Z頻道),9-10月,0,農委會,農委會,
農業旅遊形象行銷及推廣,網路廣告(Yahoo！奇摩banner廣告),9月至10月,450000,農委會,農委會,
2013新社花海活動宣傳,雜誌(天下),11月,278400,農委會,農委會,
2013新社花海活動宣傳,報紙(中國時報、聯合報、聯合晚報),11月8、15日,381000,農委會,農委會,
2013新社花海活動宣傳,廣播30秒廣播製播(鄉親聯盟、微微笑),11-12月,57500,農委會,農委會,
2013新社花海活動宣傳,廣播(60秒廣播帶製作、東臺灣之聲),11月,73674,農委會,農委會,
2013新社花海活動宣傳,網路(UDN-新聞精選組合),11-12月,83800,農委會,農委會,
2013新社花海活動宣傳,報紙(不指定報紙文字訊息廣告),12月,0,農委會,農委會,
尋覓一粒大豆-國產大豆推廣,網路(短片製作),12月,74500,農委會,農委會,
漁業科技成果專題-豹鱠(七星斑)之繁殖技術、石斑魚神經症病毒與虹彩病毒雙價疫苗,雜誌(科學人),12月,152900,農委會,農委會,
"2014台灣農漁會百大精品展
",報紙(蘋果日報2次、聯合晚報、自由時報、中國時報、聯合報),12月,761400,農委會,農委會,
"2014台灣農漁會百大精品展
",電視(訊息插播卡製作),12月,0,農委會,農委會,
"2014台灣農漁會百大精品展
",廣播(中廣新聞網、好事989、BRAVO、健康電台),12月-103年2月,540000,農委會,農委會,
"2014台灣農漁會百大精品展
",網路廣告(Yahoo！奇摩banner廣告),12月-103年2月,180000,農委會,農委會,
農村美酒廣編專輯,雜誌(天下),12月,278400,農委會,農委會,
自由經濟示範區-農業加值產業發展基地（屏東農業生物科技園區）,網路(短片製作2支),12月,149000,農委會,農委會,
自由經濟示範區農業加值-跨域整合接軌國際的新模式、屏東農業生物科技園區農業加值前景,雜誌(豐年2期),10月,37500,農委會,農委會,
有機農業推廣,報紙(自由時報、台灣時報),12月,78400,農委會,農委會,
米食宣導-選購好米有秘訣,報紙(自由時報、聯合報、聯合晚報),12月5、8日,447000,農委會,農委會,
米食宣導-吃飯當然要選台灣好米,報紙(聯合報),12月30日,155000,農委會,農委會,
活化休耕地-103年調整新措施,報紙(中國時報、聯合報),12月25、26日,582000,農委會,農委會,
全民農業廣播媒體宣導:23.台灣名茶推廣-創造茶產業新價值、24.2013中臺灣農業博覽會、25.農業旅遊形象、26.寵物登記 限期免費、27.新社花海、28.跟著「鮮享在地-嚐鮮大使」去旅行、29.「2013台灣國際茶業博覽會」、30.主動申報動植物檢疫，避免受罰,廣播(警察廣播電台),10-11月,256000,農委會,農委會,
2013臺灣國際豬腳節,廣播(警廣),8-10月,900000,農委會,農委會,
2013臺灣國際豬腳節,電視(三立),8-10月,0,農委會,農委會,
2013臺灣國際豬腳節,報紙(蘋果日報),8-10月,0,農委會,農委會,
2013年台灣珍豬品牌豬肉宣導,雜誌(壹周刊),10-12月,800000,農委會,農委會,
2013年台灣珍豬品牌豬肉宣導,網路(蘋果APP),10-12月,0,農委會,農委會,
台灣好牛中西廚師對抗賽,電視(台視),6-8月；10-12月,130000,農委會,農委會,
台灣好牛中西廚師對抗賽,雜誌(烘焙工業、台灣廟口文化小吃),6-8月；10-12月,0,農委會,農委會,
2013國產鮮乳嘉年華,報紙(Upaper),9-11月,560000,農委會,農委會,
2013國產鮮乳嘉年華,網路(東森新聞雲),9-11月,0,農委會,農委會,
2013國產鮮乳嘉年華,電視(華視、中天、東森),9-11月,0,農委會,農委會,
2013臺南市清燙牛肉節,報紙(中華日報、聯合報、中國時報、蘋果日報、自由時報),9月；11-12月,180000,農委會,農委會,
2013臺南市清燙牛肉節,廣播(AppleLine),9月；11-12月,0,農委會,農委會,
台灣好豬肉行銷嘉年華,電視(台視、年代),10-12月,150000,農委會,農委會,
CAS標章形象稿,雜誌(經典、康健、嬰兒母親),10~12月,543000,農委會,農委會,
CAS標章形象稿,手冊(台灣食品科學技術學會第43次會員大會手冊、中華民國農學會論壇大會手冊),10~12月,0,農委會,農委會,
CAS羽絨行銷推廣,報紙(蘋果日報),11月-103年1月,700000,農委會,農委會,
CAS羽絨行銷推廣,雜誌(壹週刊、今週刊、明報週刊及華流雜誌),11月-103年1月,0,農委會,農委會,
CAS羽絨行銷推廣,廣播(中廣),11月-103年1月,0,農委會,農委會,
CAS羽絨行銷推廣,網站(羽眾不同 絨耀國際),11月-103年1月,0,農委會,農委會,
國產乳品暨鮮乳標章推廣,報紙(蘋果日報),11月,2760000,農委會,農委會,
國產乳品暨鮮乳標章推廣,網路(Yahoo奇摩、Google聯播網),11月,0,農委會,農委會,
國產乳品暨鮮乳標章推廣,廣播(台北流行音樂電台、台北人人電台、台中山海屯電台、高雄港都電台、花蓮連花電台),11月,0,農委會,農委會,
國產乳品暨鮮乳標章推廣,電視(TVBS-G、TVBS-N、TVBS、三立都會台、三立台灣台、中天綜合台、中天娛樂台、中天新聞、非凡新聞、YOYO台、STV台、緯來戲劇台、緯來日本台),11月,0,農委會,農委會,
國產生鮮豬肉暨包水餃比賽宣導,報紙(中國時報、聯合報、蘋果日報、台灣時報、民眾日報),12月,471500,農委會,農委會,
國產生鮮豬肉暨包水餃比賽宣導,網路(聯合新聞網、蘋果、中國時報、經濟日報、大紀元時報、PC home、Tra News、Now News、中央通訊社),12月,0,農委會,農委會,
國產生鮮豬肉暨包水餃比賽宣導,電視(華視、東森、中視、群健),12月,0,農委會,農委會,
國產鹿茸標語SLOGAN比賽宣導活動,電視(TVBS),12月,619000,農委會,農委會,
國產鹿茸標語SLOGAN比賽宣導活動,廣播(中部調頻電台、南都廣播電台、金聲廣播電台、屏東之聲廣播電台),12月,0,農委會,農委會,
楓遊馬拉邦 秋收好伴手,雜誌(Taipei Walker),10月,75000,財團法人台灣優良農產品發展協會,農委會,
"2013台北國際旅展
農業好伴手 Fun送趴趴走",報紙(蘋果日報),10月,210000,財團法人台灣優良農產品發展協會,農委會,
CAS標章形象稿,雜誌(經典、康健、嬰兒母親),10-12月,543000,財團法人台灣優良農產品發展協會,農委會,
CAS安心水產饗宴,報紙(聯合報、中國時報),11月,241500,財團法人台灣優良農產品發展協會,農委會,
CAS羽絨行銷推廣,報紙(蘋果日報),11月-103年1月,700000,財團法人中央畜產會,農委會,
CAS羽絨行銷推廣,雜誌(壹週刊、今週刊、明報週刊、華流雜誌),11月-103年1月,0,財團法人中央畜產會,農委會,
CAS羽絨行銷推廣,廣播(中廣),11月-103年1月,0,財團法人中央畜產會,農委會,
CAS羽絨行銷推廣,網站(羽眾不同 絨耀國際),11月-103年1月,0,財團法人中央畜產會,農委會,
防治口蹄疫-提升產業競爭力,雜誌(豐年社),11-12月,80000,財團法人台灣動物科技研究所,農委會,
CAS水產形象廣告,平面(高鐵時刻表),12月,78750,財團法人台灣優良農產品發展協會,農委會,
有機農業─守護台灣大地的健康,雜誌(豐年、鄉間小路、消費者月刊),10-12月,200000,豐年社,農委會,
防範口蹄疫宣導,雜誌(豐年),10-11月,80000,豐年社,農委會,
1.102年度10-12月漁船船員訓練課程  2.公告鰻苗捕撈漁期管制規定 3.漁業人將遠洋漁船漁獲物輸銷至歐盟地區時，其漁船應完成歐盟登錄且漁獲物衛生應符合歐盟規定。4.漁船主依「就業服務法」僱用之外籍船員應申請及註銷外國籍船員證，且僱用期間不得從事非經許可,雜誌(新漁業雜誌),10-12月,822312,漁業署,農委會,
之工作 5.人口販運、偷渡及走私毒品、槍械、未稅菸品、農漁畜產品，都是不歸路 6.漁業廢棄物回收及再利用 7.漁港區環境維護,雜誌(新漁業雜誌),10-12月,0,漁業署,農委會,
好，漁船停泊安全處處好 8.為保障核配漁船優惠用油權益，請勿拆卸移置航程紀錄器(VDR)並妥善維護使用 9.請遵守漁船捕獲鯊魚魚鰭處理應行遵守及注意事項10.獎勵休漁11.102年度水產種苗協會石斑魚海外產銷現況座談會,雜誌(新漁業雜誌),10-12月,0,漁業署,農委會,
配合已預告之蟳蟹作業規定，提供蟳蟹小常識,報紙(台灣時報、聯合晚報、台灣新生報),12月,201000,漁業署,農委會,
鼓勵民眾至漁港觀光休閒，並在年節前至漁港直銷中心採辦年節魚貨,報紙(聯合晚報、蘋果日報、聯合報、中國時報、自由時報),12月,564416,漁業署,農委會,
宣導放流應向政府提出申請之規定，並肯定民間辦理放流之成果,報紙(聯合晚報),12月,120000,漁業署,農委會,
鯊魚在我國為眾多漁產品之一，在政府適當的管理之下，在台灣市售的魚翅已逐漸符合保育規範,報紙(聯合晚報),12月,120000,漁業署,農委會,
宣導漁業資源保育作業規定，強調資源保育才能帶來豐收,報紙(蘋果日報、聯合報、中國時報、自由時報),12月,504416,漁業署,農委會,
花蓮區漁會接手鳥踏石廣場，改名向日廣場重新招商再出發,報紙(聯合晚報),12月,120000,漁業署,農委會,
我國遠洋漁業為國人提供為優質魚產品，並確保參與國際組織運作,報紙(聯合晚報、台灣時報、中華日報、台灣新生報、民眾日報、自由時報),12月,427052,漁業署,農委會,
石斑人工飼料宣導,雜誌(新漁業雜誌),10月,47500,財團法人台灣養殖漁業發展基金會,農委會,
2013水產精品展售會,廣播(好事989、中廣新聞網),10月,47500,財團法人台灣養殖漁業發展基金會,農委會,
2013水產精品展售會,報紙(U-PAPER),10月,50000,財團法人台灣養殖漁業發展基金會,農委會,
養殖用電節電技術宣導,雜誌(新漁業雜誌、漁友月刊),11月,56000,財團法人台灣養殖漁業發展基金會,農委會,
2013水產精品展售會,廣播(好事989、中廣新聞網),11月,290000,財團法人台灣養殖漁業發展基金會,農委會,
台灣活力生態鯛ASC驗證推廣宣導,雜誌(康健月刊),11月,193600,財團法人台灣養殖漁業發展基金會,農委會,
台灣活力生態鯛ASC驗證推廣宣導,廣播(台北流行音樂台、好事989、台北健康電台),11月,100000,財團法人台灣養殖漁業發展基金會,農委會,
通路國產鱸魚季宣導,報紙(蘋果日報),12月,150000,財團法人台灣養殖漁業發展基金會,農委會,
節能水車應用及推廣,雜誌(新漁業雜誌、漁友月刊),12月,32000,財團法人台灣養殖漁業發展基金會,農委會,
「秋刀魚與洄游性魚類輻射監測」宣導廣告,雜誌(食尚玩家雙周刊),12月,24000,財團法人台灣養殖漁業發展基金會,農委會,
台灣活力生態鯛ASC驗證推廣宣導,雜誌(健康二點靈月刊),12月,139000,財團法人台灣養殖漁業發展基金會,農委會,
在漁港-寫下我們的故事,報紙(中國時報、聯合報、自由時報、蘋果日報),12月,504416,財團法人中華民國對外漁業合作發展協會,農委會,
資源保育-要怎麼收穫先怎麼栽,報紙(中國時報、聯合報、自由時報、蘋果日報),12月,504416,財團法人中華民國對外漁業合作發展協會,農委會,
立足台灣放眼全球的遠洋漁業,報紙(自由時報),12月,63064,財團法人中華民國對外漁業合作發展協會,農委會,
對外漁協業務,雜誌(新漁業雜誌),10-12月,18000,財團法人中華民國對外漁業合作發展協會,農委會,
宣傳漁合會宗旨業務,雜誌(台灣水產協會雙月刊),10-12月,16000,財團法人兩岸漁業合作發展基金會,農委會,
米食推廣計畫/優質台灣米禮盒、CAS米食特色,雜誌(主計月刊),10月、12月,32000,農糧署,農委會,
米食推廣計畫/米飯的好處-均衡營養 健康滿分,"金稻糧家季刊
（封面內頁及封底外頁
，兩頁A4彩色全版)",102年12月號(第19期),22000,農糧署,農委會,
北區分署農糧政策宣導,廣播(正聲調頻台、正聲調幅台、桃園先聲電台、苗栗正義電台),10-12月,148750,農糧署,農委會,
中區分署農糧政策宣導,廣播(正聲：台中一台、台中二台、雲林台、北港台),10-12月,173750,農糧署,農委會,
正中好米行銷宣導,廣播(正聲：台中一台、台中二台、雲林台、北港台),11月,50000,農糧署,農委會,
南區分署農糧政策宣導,廣播(正聲：嘉義縣市、臺南市、高雄市、屏東縣、澎湖縣,10-12月,145000,農糧署,農委會,
臺灣好米行銷宣導,報紙(聯合報),12月,50000,農糧署,農委會,
東區分署農業政策宣導、時令農產品促銷暨農業活動宣傳,廣播（中廣：宜蘭、花蓮、台東）,10-12月,148750,農糧署,農委會,
青年農傳人系列專欄廣告,報紙(更生日報),10-12月,40000,農糧署,農委會,
花蓮農民直銷站專欄廣告,報紙(更生日報、東方報),11-12月,10000,農糧署,農委會,
103年活化農地計畫宣導,廣播(花蓮縣蔬菜運銷合作社農民電台),12月,4000,農糧署,農委會,
土石流防災宣導及自主防災篇,電視（有線及無線電視台),"10月-11月
",2655000,水保局,農委會,
土石流防災宣導及自主防災篇,廣播(中廣花蓮台),11月,11666,水保局,農委會,
「家在山那邊」科普繪本索取資訊,報紙(蘋果日報、自由時報),11月,"752,700
",水保局,農委會,
「家在山那邊」科普繪本索取資訊,廣播(警廣),"11月
",20417,水保局,農委會,
水土保持研討會,雜誌(主計月刊),10月,8400,水保局,農委會,
愛回鄉為故鄉做件事,報紙(中國時報),"11月
",327750,水保局,農委會,
愛回鄉為故鄉做件事,廣播(警廣),"11月
",20417,水保局,農委會,
2天一夜排灣族部落體驗,報紙(更生日報),"10月
","15,000
",水保局,農委會,
食農教育身土不二，落食特色農村再地食材推廣,報紙(自由時報),"11月
","15,000
",水保局,農委會,
電光秋收，農村趣,報紙(更生日報),"12月
",15000,水保局,農委會,
築夢心農村 幸福市集GO,報紙(更生日報),"12月
","15,000
",水保局,農委會,
農村社區介紹：宮前社區、高寮社區、羅山社區、水璉社區,雜誌(鄉間小路),10~12月,"57,000
",水保局,農委會,
農村社區介紹：宮前社區、高寮社區、羅山社區、水璉社區,"廣播(中廣花蓮台)
",10月,11666,水保局,農委會,
來去臺東住一晚-特色農村體驗活動：三仙社區及永福社區、鹿野龍田社區茶果香之旅、鹿野大原社區憶起紅甘蔗的歳月,雜誌(怡寶之美、豐年社、鄉間小路),10~12月,102000,水保局,農委會,
102年度「ali ma撒布優」洛神花季系列活動,廣播(中廣台東台),11月,"10,000
",水保局,農委會,
排灣族文化體驗-土坂部落微旅行,雜誌(鄉間小路),11月,"34,000
",水保局,農委會,
細嘗小米國宴餐-香蘭部落微旅行,雜誌(豐年社),11月,34000,水保局,農委會,
農村素人廣告及專題廣告,廣播（中廣花蓮台),"12月
",19358,水保局,農委會,
有意義的旅遊,雜誌（食尚玩家),10月,271940,水保局,農委會,
大專生洄游農村專題廣告,廣播(中廣花蓮台),"10月
",7692,水保局,農委會,
青年新詮釋 農村心改變,雜誌(商周),"10月
",135970,水保局,農委會,
萬安社區四季活動春耕夏耘秋收冬藏,廣播(中廣台東台),10月,"10,000
",水保局,農委會,
龍田大園社區農村體驗活動，大學生回流農村，體驗生命之美,報紙(更生日報),10月,15000,水保局,農委會,
台東農村的20個魔法故事，農村再生讓窳陋空間變身美麗公園,報紙(自由時報),11月,15000,水保局,農委會,
窳陋空間改善推廣成果,報紙(自由時報),"11月
",432150,水保局,農委會,
窳陋空間改善推廣成果,廣播(警廣),"11月
",20417,水保局,農委會,
農村再生介紹專題廣告,中廣(花蓮台),11月,7692,水保局,農委會,
農村再生聯合成果展,廣播(中廣台東台),12月,10000,水保局,農委會,
「N個理由到農村」,雜誌(商周),"10~11月
",407910,水保局,農委會,
「N個理由到農村」,廣播(警廣),11月,40834,水保局,農委會,
103年度農村再生執行計畫，社區踴躍提案推動社區活化,報紙(自由時報),"11月
",15000,水保局,農委會,
農村好樣,雜誌(商周),"12月
",135970,水保局,農委會,
農村好樣,廣播(警廣),11月,20417,水保局,農委會,
中臺灣農業博覽會-農村再生館,廣播(警廣),"10月
",20417,水保局,農委會,
教育資源網,廣播(警廣),"11月
",20417,水保局,農委會,
水土保持戶外教室介紹,廣播(警廣),"11月
",20417,水保局,農委會,
新社花海-農村再生館,廣播(警廣),"11月
",20417,水保局,農委會,
土石防災資訊app報你知,廣播(警廣),"11月
",20417,水保局,農委會,
青年返鄉：多那社區、頂溪社區、山腳社區,廣播(警廣),"11月
",61251,水保局,農委會,
綠動森活館將率環境概念導入農村再生區實作之成果,廣播(台灣廣播),10月,4000,水保局,農委會,
中台灣農業博覽會水土保持局主題館活動宣導,廣播(台灣廣播),10月,4000,水保局,農委會,
防範森林火災宣導,雜誌(主計月刊、鄉間小路月刊、張老師月刊、中華林學會會刊、中華民國農學團體年會會刊),11-12月,217300,林務局,農委會,
防範森林火災宣導,廣播(正聲、中國、大寶桑、飛碟聯播網、台東之聲),10-12月,181000,林務局,農委會,
防範森林火災宣導,報紙(新新聞報、台灣時報、中華日報、更生日報、青年日報、聯合報、東方報、聯統日報),10-12月,156460,林務局,農委會,
防範森林火災宣導,網路(奇集集生活萬用網、社群網路-Facebook）,10-12月,50000,林務局,農委會,
防範森林火災宣導,電視（世新）,12月,5438,林務局,農委會,
林業相關宣導（網路官網連結、自然生態保育宣導）,雜誌(主計月刊、中華林學會會刊),11-12月,68500,林務局,農委會,
林業相關宣導（網路官網連結、自然生態保育宣導）,廣播(正聲),10-12月,36600,林務局,農委會,
林業相關宣導（網路官網連結、自然生態保育宣導）,電視(洄瀾有線電視),10-12月,90000,林務局,農委會,
林業相關宣導（網路官網連結、自然生態保育宣導）,網路(今日新聞網、中晨新聞網),10-11月,6391,林務局,農委會,
國家森林遊樂區、平地森林園及自然教育中心活動宣導,報紙(台灣新生報）,12月28日,30000,林務局,農委會,
國家森林遊樂區、平地森林園及自然教育中心活動宣導,雜誌(中華林學會會刊、旅展專刊),10-12月,80000,林務局,農委會,
國家森林遊樂區、平地森林園及自然教育中心活動宣導,廣播（飛碟聯播網）,12月,18095,林務局,農委會,
農信保專為農漁民及農企業作保,"新漁業雜誌
(廣告宣導)",11月,10000,財團法人農業信用保證基金,農委會,
農信保是農漁民的好朋友,"廣播媒體30秒廣告
(每日、建國、神農、民立等電台)",10-12月,174375,財團法人農業信用保證基金,農委會,
102年新社花海活動,廣播20秒口播廣告(全國廣播),11-12月,50000,種苗改良繁殖場,農委會,
102年新社花海活動,網路(花海官網、社群網站：FACEBOOK),10~12月,70000,種苗改良繁殖場,農委會,
102年新社花海活動,網路(花海官網、社群網站：FACEBOOK、Youtube連結),10~12月,250000,種苗改良繁殖場,農委會,
